catalog_number,overview,ids
P2002451,,2983969
185308LF,"<p>Bell &amp; Gossett shaft and sleeve for B&amp;G series 1510 pumps with 185011 and 185013 bearing assemblies and 1-1/4"" shafts.</p>",2983970
P56750,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 90 pumps, model 90-33, size 1-1/2AA. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2983971
P63239,"<p>Bell &amp; Gossett 1-1/4"" x 1-5/8"" complete coupler for series 1510 pumps with 30 HP motors and 284TS frames. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983972
P85075,,2983973
P85286,,2983974
P62876,,2983975
HFT-110V,,2983977
169224,"<p>Bell &amp; Gossett 1/4 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 601S and 604S in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2983976
P00431,,2983978
P80913,"<p>Bell &amp; Gossett shaft sleeve for B&amp;G series VSCS pumps, sizes 10x12x17 and 12x14x12-3/4.</p>",2983979
1BL008LF,,2983980
1BL004LF,"<p>Series PL bronze body pumps are dependable, in-line wet rotor circulator pumps specifically intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series PL features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique XL11 precision-crafted bearing system also contributes to trouble-free start-ups. A powerful, dry-motor design offers 25% more efficiency than the competition. Unlike a wet rotor, the Series PL does not need to bypass system water through the motor to lubricate and cool the bearings. The PL's advanced close-coupled design increases pump life and efficiency. The Series PL's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Unlike larger wet rotor circulators of similar performance, the Series PL is able to handle difficult water conditions at a wide range of temperatures. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 1"", 1-1/4"", and 1-1/2"".</p>",2983981
CLA-VAL-KIT,,2983983
P77204,<p>Bell &amp; Gossett bearing housing for size 6x6x12 (F construction) B&amp;G series VSC and VSCS pumps.</p>,2983982
185252,,2983984
186392,,2983985
P5001079,,2983987
186482,<p>Bell &amp; Gossett volute cover plate for B&amp;G pumps with 185011 and 185013 bearing assemblies.</p>,2983986
107006,"<p>Bell &amp; Gossett model A-2-2/2"" threaded, angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 7.5 feet of water this valve will perform from 1 to 125 GPM. See performance curves for your exact flow rate.</p>",2983988
115118,,2983989
113076,<p>Provides positive shut-off to eliminate loss of system liquid. An excellent choice for use in systems using ethylene glycol and water.</p>,2983990
A91286,"<p>Bell &amp; Gossett stainless steel strainer for HH-3Z, JH-3Z, and SDG-8 suction diffusers.</p>",2983991
169035,"<p>Bell &amp; Gossett 1/4 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 1AA and 60-11S. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2983992
DM0029,,2983993
107007,"<p>Bell &amp; Gossett model A-3"" threaded, angle-pattern flow-control valve. Its ductile iron body is rated to 125 psi and 250°F. Flo-Control valves prevent gravity flow in forced water systems and permit operation of indirect water heaters during both summer and winter. With a pressure drop of 1 to 7.5 feet of water this valve will perform from 1 to 125 GPM. See performance curves for your exact flow rate.</p>",2983995
1BL017LF,"<p>Series PL bronze body pumps are dependable, in-line wet rotor circulator pumps specifically intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series PL features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique XL11 precision-crafted bearing system also contributes to trouble-free start-ups. A powerful, dry-motor design offers 25% more efficiency than the competition. Unlike a wet rotor, the Series PL does not need to bypass system water through the motor to lubricate and cool the bearings. The PL's advanced close-coupled design increases pump life and efficiency. The Series PL's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Unlike larger wet rotor circulators of similar performance, the Series PL is able to handle difficult water conditions at a wide range of temperatures. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 1"", 1-1/4"", and 1-1/2"".</p>",2983994
186874,"<p>Bell &amp; Gossett 1-1/4"" x 1-5/8"" complete coupler for series 1510 pumps with 20 HP motors and 256T frames, as well as, 40 HP motors and 286TS frames. A broken coupler indicates that the motor mounts have lost their resiliency and the motor shaft and pump shaft are now out of alignment. It is recommended to replace the motor mounts when the pump coupling breaks.</p>",2983996
P85289,,2983998
DM0060,"<p>Hoffman Specialty 1 HP, three phase, 3500 RPM, 230/460 volt, open dripproof motor.</p>",2983997
186861,,2983999
117116,"<p>Bell &amp; Gossett model CB-2-1/2F 2-1/2"" 125lb circuit setter with a flanged connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2984000
P56870,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 90 pumps, model 90-34, size 2AA. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984001
P77171,<p>Bell &amp; Gossett bearing housing for B&amp;G series VSC pumps.</p>,2984002
1BL033,,2984003
186495,<p>Bell &amp; Gossett cover plate for model 185011 and 185013 bearing assemblies on B&amp;G series 1510 and e-1510 pumps.</p>,2984004
DM0010,,2984005
106192LF,"<p>Series 100 AB all bronze pumps are dependable, in-line booster pumps intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series 100 features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series 100's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. All Series 100 pumps have ODP, open drip-proof, motor enclosures. The Series 100 AB features a bronze impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2984006
P5001190,,2984007
52-239-562-001,,2984009
111040,,2984008
52-239-563-001,,2984010
186526,,2984011
P81915,"<p>Bell &amp; Gossett impeller nut for B&amp;G series VSC and VSCS pumps. The impeller nut screws onto the end of the pump shaft, securing the impeller in place.</p>",2984012
P08709,"<p>Bell &amp; Gossett steel impeller, with a 5-3/4"" outside diameter, for B&amp;G series PD booster pumps, specifically model PD-38. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984013
169226,"<p>Bell &amp; Gossett 1/3 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 602S, 605S, and 607S in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984015
LHB08100099,,2984017
110033,"<p>Bell &amp; Gossett model 3301-30 cast iron hot water relief valve in an angle pattern with a 1-1/2"" inlet and a 2"" outlet. This valve can be set at 30 psi and has a 3,300,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2984018
102210,"<p>Series HV NFI cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series HV features a three-piece design, which includes a motor, bearing assembly and volute. The Series HV is designed for applications that require increased flow and head pressures.  This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series HV's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series HV BNFI features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. Flanges are available separately in 1"", 1-1/4"" and 1-1/2"".</p>",2984019
117107LF,"<p>Bell &amp; Gossett model CB-3 3"" IPF circuit setter with a sweat connection and straight pattern balancing valve.</p>",2984014
P5001796,,2984020
186528,,2984021
169228,"<p>Bell &amp; Gossett 1/2 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 603S, 606S, and 608S in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984022
169229,"<p>Bell &amp; Gossett 1/2 HP, 208/230/460 volt, three phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 603T, 606T, and 608T in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984023
5363-25N-12-00,,2984024
117053,,2984025
132121,"<p>Bell &amp; Gossett model 3DS-2S 2"" flanged straight-pattern triple-duty valve. Combined features include a positive shut-off, non-slam check valve, and system balancing. Its ductile iron body is rated to 175 psi and 250°F. This valve is made of heavy-duty cast iron and features a replaceable bronze disc with EPDM insert, a chatter-preventing spring, and brass read-out valves to allow accurate balancing.</p>",2984026
110034,"<p>Bell &amp; Gossett model 4100-30 cast iron hot water relief valve in an angle pattern with a 2"" inlet and a 2"" outlet. This valve can be set at 30 psi and has a 4,100,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2984027
P57580,"<p>Bell &amp; Gossett bronze impeller, with a 7"" outside diameter, for B&amp;G series 60 models 60-2A and 620T pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984028
1BL068LF,"<p>Series PL bronze body pumps are dependable, in-line wet rotor circulator pumps specifically intended to pump potable, domestic water from hot water heater tanks to areas such as bathrooms and kitchens. The Series PL features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique XL11 precision-crafted bearing system also contributes to trouble-free start-ups. A powerful, dry-motor design offers 25% more efficiency than the competition. Unlike a wet rotor, the Series PL does not need to bypass system water through the motor to lubricate and cool the bearings. The PL's advanced close-coupled design increases pump life and efficiency. The Series PL's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Unlike larger wet rotor circulators of similar performance, the Series PL is able to handle difficult water conditions at a wide range of temperatures. Mounting hardware and flange gaskets are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2984029
169040,"<p>Bell &amp; Gossett 1/4 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 1522 pumps, specifically model 3/4AAB. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984030
P50652,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-1/4"" shafts, size 1-1/4 AC. Also fits series 1510 1-1/4 AC pumps. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984031
P57440,"<p>Bell &amp; Gossett bronze impeller, with a 7"" outside diameter, for B&amp;G series 60 models 1-1/2A and 618T pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984032
P2002427,<p>Bell &amp; Gossett pump end ball bearing for part number 185320 bearing assemblies.</p>,2984033
P77174,<p>Bell &amp; Gossett bearing housing for size 6x8x9-3/4 (F construction) B&amp;G series VSC and VSCS pumps.</p>,2984034
118453,"<p>Bell &amp; Gossett brass impeller, 6"" outside diameter, for B&amp;G series PD booster pumps, specifically models PD-39 and PD-40. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984035
186937,,2984036
110082,"<p>Bell &amp; Gossett model 3301-50 cast iron hot water relief valve in an angle pattern with a 1-1/2"" inlet and a 2"" outlet. This valve can be set at 50 psi and has a 4,900,000 BTU capacity. Cast iron or bronze safety relief valves are designed for fired and unfired hot water pressure vessels to protect against overpressure conditions. Cast iron models are used for hot water heating boilers and bronze models can be used on direct fired water heaters, or storage tanks with indirect heaters to match the BTU loads of the heat exchangers. Their maximum pressure is 125 psi and their maximum temperature is 250°F.</p>",2984037
169205,"<p>Bell &amp; Gossett 1/2 HP, 208/230/460 volt, three phase, 1725 RPM, oil-lubricated motor for B&amp;G series 90 pumps, with 3/4"" seal shaft diameters. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984038
116491,<p>Bell &amp; Gossett Series D 8 gallon vertical ASME diaphragm expansion tank with an acceptance volume of 2.4. Series D expansion tanks are ASME rated pre-charged diaphragm-type pressure vessels. The Series D tank is designed to absorb the expansion forces of heating/cooling system water while maintaining proper system pressurization under varying operating conditions. The heavy duty diaphragm separates system water from the tank air charge thereby eliminating waterlogging problems.</p>,2984039
P85584,,2984040
1BL034,"<p>Series PL pumps are dependable, in-line cast iron close coupled booster pumps used for hydronic, radiant and geothermal heating and cooling systems. The Series PL features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique XL11 precision-crafted bearing system also contributes to trouble-free start-ups. A powerful, dry-motor design offers 25% more efficiency than the competition. Unlike a wet rotor, the Series PL does not need to bypass system water through the motor to lubricate and cool the bearings. The PL's advanced close-coupled design increases pump life and efficiency. The Series PL's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Unlike larger wet rotor circulators of similar performance, the Series PL is able to handle difficult water conditions at a wide range of temperatures. Mounting hardware and flange gaskets are included with the pump. A pair of 2"" flanges are also included.</p>",2984041
169230,"<p>Bell &amp; Gossett 3/4 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 609S, 611S, 613S, and 615S in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984042
169231,"<p>Bell &amp; Gossett 3/4 HP, 208/230/460 volt, three phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 609T, 611T, 613T, and 615T in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984043
132160,,2984044
P61451,,2984045
P85518,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-1/4"" shafts, size 1-1/2x1-1/2x7B all iron. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984046
169038,"<p>Bell &amp; Gossett 1/3 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 1-1/4AA and 60-2S. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984047
P57452,"<p>Bell &amp; Gossett bronze impeller, with a 5-5/8"" outside diameter, for B&amp;G series 60 models 60-8 and 60-19 pumps. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984048
111042,"<p>Bell &amp; Gossett 1/3 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series HD3 pumps. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984050
EM3218T,,2984051
169225,"<p>Bell &amp; Gossett 1/4 HP, 208/230/460 volt, three phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 601T and 604T in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984052
102230,,2984053
1BL063,"<p>Series PL pumps are dependable, in-line cast iron close coupled booster pumps used for hydronic, radiant and geothermal heating and cooling systems. The Series PL features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique XL11 precision-crafted bearing system also contributes to trouble-free start-ups. A powerful, dry-motor design offers 25% more efficiency than the competition. Unlike a wet rotor, the Series PL does not need to bypass system water through the motor to lubricate and cool the bearings. The PL's advanced close-coupled design increases pump life and efficiency. The Series PL's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Unlike larger wet rotor circulators of similar performance, the Series PL is able to handle difficult water conditions at a wide range of temperatures. Mounting hardware and flange gaskets are included with the pump. Includes a pair of 2"" flanges.</p>",2984054
P57450,,2984055
P81908,<p>Bell &amp; Gossett bearing housing for sizes 10x10 and 10x12x13 B&amp;G series VSC and VSCS pumps.</p>,2984056
1BL070,"<p>Series PL pumps are dependable, in-line cast iron close coupled booster pumps used for hydronic, radiant and geothermal heating and cooling systems. The Series PL features a maintenance-free system, with a self-cleaning particle shield protects the shaft and bearings from system start-up debris. The unique XL11 precision-crafted bearing system also contributes to trouble-free start-ups. A powerful, dry-motor design offers 25% more efficiency than the competition. Unlike a wet rotor, the Series PL does not need to bypass system water through the motor to lubricate and cool the bearings. The PL's advanced close-coupled design increases pump life and efficiency. The Series PL's stabilized heat-resistant, non-metallic impeller with a closed design improves overall operating efficiency. Unlike larger wet rotor circulators of similar performance, the Series PL is able to handle difficult water conditions at a wide range of temperatures. Mounting hardware and flange gaskets are included with the pump. Includes a pair of 3"" flanges.</p>",2984057
117054,,2984058
169206,,2984059
5360-25N-12-00,,2984060
118644,,2984061
104301,,2984062
102206,"<p>Series PR cast iron pumps are dependable, in-line booster pumps intended to pump water through closed loop systems for heating and cooling. The Series PR is designed for applications that require increased flow and head pressures. The Series PR features a three-piece design, which includes a motor, bearing assembly and volute. This innovative design provides for easy field service as the bearings, shaft and seal are all housed within the bearing assembly. That assembly can then be easily repaired or entirely replaced without disturbing the other components of your pump. The Series PR's resilient motor mounting is another feature unique to Bell &amp; Gossett. The mounting, combined with spring-loaded couplers, means your pump will run quietly and efficiently. The Series PR features a plastic impeller. A tube of Bell &amp; Gossett oil along with flange gaskets and mounting hardware are included with the pump. Flanges are available separately in 3/4"", 1"", 1-1/4"", and 1-1/2"".</p>",2984063
186828LF,"<p>Bell &amp; Gossett seal kit for B&amp;G series VSC split case pumps, size 10x10x13, as well as VSCS split case pumps, size 10x12x13. Seal kits prevent the pump from leaking water at the pump shaft. It is recommend to order a new pump cover gasket when replacing the seal kit as it necessary to replace it each time the pump is opened for maintenance.</p>",2984064
DM0096,,2984065
P85519,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-1/4"" shafts, size 1-1/2x1-1/2x9-1/2. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984066
117117,"<p>Bell &amp; Gossett model CB-3F 3"" 125lb circuit setter with a flanged connection and straight pattern balancing valve. Circuit setter balancing valves offer positive shut-off, a memory stop indicator, and integral, valved readout ports. These valves are designed to provide optimum system flow balance at minimum pump operating horsepower. Using a circuit setter calculator allows the user to plot and preset the valve to various settings while figuring in head loss versus flow. The valve features an adjustment knob with memory stop indicator for settings as well as read-out ports which allows a read-out meter to be attached, in turn displaying feet of water.</p>",2984067
P50700,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-1/4"" shafts, size 2BC. Also fits series 1510 2BC pumps. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984068
186533,<p>Bell &amp; Gossett motor bracket for B&amp;G series 80 and 1531 pumps.</p>,2984069
P47950,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-1/4"" shafts, sizes 1-1/2 AB and 2 AB. Impeller diameter must be specified when ordered as this impeller is trimmable. Also fits series 1510 sizes 1-1/2 AB and 2 AB. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984070
102207,,2984071
P47952,,2984072
1AM008,,2984073
118449,<p>Bell &amp; Gossett cast iron volute for B&amp;G model PD35 and PD37 pumps.</p>,2984074
186530,,2984075
189594,,2984076
168021,"<p>Series 1535 cast iron centrifugal pumps are robust, close-coupled, foot-mounted pumps intended to pump water through closed loop systems for hydronic heating and cooling, primarily in commercial settings. These pumps are ideal in applications where front end suction and top discharge is needed. The Series 1535 features a back pull-out design, which allows the pump to be serviced without disturbing system piping. Series 1535 pumps can be mounting either vertically or horizontally, providing a wide range of application flexibility. High quality, permanently lubricated ball bearings, along with a self-flushing mechanical seal, on the Series 1535 means years of dependable service. The 351S is a single phase pump and includes a bronze impeller, a 1-1/4"" end suction, and a 1"" top discharge.</p>",2984077
102232,,2984078
169211,,2984079
169227,"<p>Bell &amp; Gossett 1/3 HP, 208/230/460 volt, three phase, 1725 RPM, oil-lubricated motor for B&amp;G series 60 pumps, specifically models 602T, 605T, and 607T in iron or bronze. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984080
P50716,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-1/4"" shafts, size 2-1/2 AB. Also fits series 1510 2-1/2 AB pumps. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984081
P90456,"<p>Bell &amp; Gossett shaft sleeve for B&amp;G series VSC-D pumps, sizes 4x5x14-3/4 through 10x12x11-3/4 with 2"" shafts, manufactured after May 1973.</p>",2984082
60-601S,,2984083
P75986,"<p>Bell &amp; Gossett outboard volute cover plate for B&amp;G VSC and VSCS pumps, size 6x8x9-3/4.</p>",2984084
P79018,<p>Bell &amp; Gossett shaft for B&amp;G series 1510 pumps with 185014 and 185016 bearing assemblies.</p>,2984085
169216,"<p>Bell &amp; Gossett 1-1/2 HP, 115 volt, single phase, 3450 RPM, oil-lubricated motor for B&amp;G series 1535 pumps, specifically model 355S. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized.</p>",2984086
P81943,<p>Bell &amp; Gossett bearing housing for sizes 10x10 and 10x12x13 (F construction) B&amp;G series VSC and VSCS pumps.</p>,2984087
172707LF,"<p>Series 60 cast iron body pumps are dependable, maintenance-free, in-line, centrifugal pumps intended to pump water through closed loop systems for heating and cooling primarily in commercial settings. The Series 60 features a three-piece design, which includes a motor, bearing assembly and volute. The Series 60's design has an internally, self-flushing mechanical seal, which provides superior flow circulation around the seal faces. This reduces heat buildup and increases particle removal. It also includes the XL-11 precision-crafted, permanently-lubricated, bearing system that ensures long life and quiet operation. All Series 60 pumps have ODP, open drip-proof, motor enclosures. Impellers are hydraulically balanced to provide smooth and efficient operation. The hydraulically balanced impeller and resilient motor also help provide smooth, quiet operation. The Series 60 604S is a single phase pump and features a bronze impeller. Flanges are included in 1-1/4"".</p>",2984088
185260LF,,2984089
P50707,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 1531 pumps with 1-5/8"" shafts, size 2BC. Also fits series 1510 2BC pumps. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984090
P85460,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-1/4"" shafts, size 2x2x7. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984091
P85521,"<p>Bell &amp; Gossett bronze impeller for B&amp;G series 80 pumps with 1-1/4"" shafts, model 804TB size 2x2x9-1/2B and model 805TB size 2-1/2x2-1/2x9-1/2. Impeller diameter must be specified when ordered as this impeller is trimmable. Impeller diameter will be found on the pump's I.D. tag. Impellers are installed on the end of the pump shaft, which spins the impeller in turn pumping water, or other liquid, throughout your system.</p>",2984092
169212,,2984093
2EC0311L,,2984095
602S,,2984094
111044,"<p>Bell &amp; Gossett 1/2 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series PD and 60 pumps, specifically models PD-35 and 60 series 1-1/2A and 1-1/2AA. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984096
111046,"<p>Bell &amp; Gossett 1/2 HP, 208/230/460 volt, three phase, 1725 RPM, oil-lubricated motor for B&amp;G series PD and 60 pumps, specifically models PD-35 and 60 series 1-1/2A and 1-1/2AA. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984097
179040LF,"<p>Series 90 cast iron body booster pumps are reliable close-coupled, in-line pumps intended to pump water through closed loop systems for hydronic heating and cooling, primarily in commercial applications. The Series 90 features a back pull-out design, which allows the pump to be serviced without disturbing system piping. For flexibility in system design, Series 90 pumps may be mounted either vertically or horizontally, providing a wide range of application flexibility. The 90-31S is a single phase pump and includes a bronze impeller, as well as, an internally flushed BUNA/carbon ceramic seal. Flanges are included in 1-1/4"".</p>",2984098
DM0119,,2984099
169047,"<p>Bell &amp; Gossett 1/2 HP, 115 volt, single phase, 1725 RPM, oil-lubricated motor for B&amp;G series 1522 pumps, specifically model 1-1/4AAB. This motor features a two-piece motor bracket, for easy service, sleeve bearings, and replaceable, resilient motor mounts. A modern, built-in thermal overload protector shuts the motor off if it overheats. All parts are UL recognized. </p>",2984100
